trailer_id,trailer_number,trailer_type,length_feet,model_year,status
trl00171,8939,dry van,53,2018,active
trl00172,3236,refrigerated,53,2023,active
trl00173,4196,dry van,53,2018,active
trl00174,7290,dry van,53,2021,active
trl00175,9281,refrigerated,53,2022,active
trl00176,9109,refrigerated,53,2015,active
trl00177,7703,dry van,53,2017,active
trl00178,9056,dry van,53,2019,active
trl00179,7809,refrigerated,53,2016,active
trl00180,8272,refrigerated,53,2015,active
