customer_id,customer_name,customer_type,credit_terms_days,primary_freight_type,account_status,contract_start_date,annual_revenue_potential
cust00107,premier industries,dedicated,60,food/beverage,active,2020-08-01,3395738.0
cust00108,global distribution,dedicated,30,automotive,active,2020-12-09,3838099.0
cust00109,global manufacturing,contract,60,retail,active,2021-06-26,4925587.0
cust00110,continental group,spot,60,electronics,active,2021-12-13,4333976.0
cust00111,xyz wholesale,contract,30,automotive,active,2020-04-07,855670.0
cust00112,abc wholesale,contract,45,automotive,inactive,2020-12-25,1962989.0
cust00113,premier group,spot,60,food/beverage,active,2020-04-06,3723339.0
cust00114,premier manufacturing,contract,45,retail,active,2021-05-02,2530876.0
cust00115,global corp,dedicated,45,retail,inactive,2021-02-07,3407816.0
cust00116,premier logistics,spot,45,food/beverage,active,2021-10-29,1341618.0
cust00117,superior industries,spot,60,retail,active,2020-02-27,1208882.0
cust00118,continental manufacturing,dedicated,30,consumer goods,active,2020-06-29,2919983.0
cust00119,abc manufacturing,contract,15,automotive,inactive,2020-12-01,792438.0
cust00120,superior corp,contract,30,automotive,active,2021-06-21,4091758.0
cust00121,abc corp,spot,60,retail,active,2020-07-14,4893591.0
cust00122,metro foods,dedicated,30,automotive,active,2020-02-02,513651.0
cust00123,american corp,spot,15,retail,active,2020-08-10,4698235.0
cust00124,first supply chain,contract,30,food/beverage,active,2020-06-16,3448659.0
cust00125,xyz supply chain,contract,60,electronics,active,2021-07-28,2302495.0
cust00126,first retail,dedicated,45,food/beverage,active,2020-04-14,813694.0
cust00127,global group,spot,15,electronics,active,2021-03-18,3443087.0
cust00128,xyz group,spot,30,consumer goods,active,2021-02-05,4309597.0
cust00129,global wholesale,contract,60,food/beverage,active,2020-11-08,3744775.0
cust00130,first group,dedicated,15,general,active,2020-03-16,1193666.0
cust00131,national distribution,contract,15,consumer goods,inactive,2021-02-06,1231377.0
cust00132,superior retail,dedicated,30,automotive,inactive,2021-09-10,4134270.0
cust00133,united supply chain,contract,60,food/beverage,active,2021-09-25,4791716.0
cust00134,superior supply chain,contract,60,electronics,active,2020-07-15,1761854.0
cust00135,premier retail,dedicated,15,retail,inactive,2020-02-27,4192475.0
cust00136,pacific corp,contract,15,retail,active,2021-10-25,3416174.0
cust00137,first industries,dedicated,45,food/beverage,active,2021-11-18,4892669.0
cust00138,first logistics,spot,30,food/beverage,active,2021-08-22,1745000.0
cust00139,xyz supply chain,dedicated,45,consumer goods,active,2021-07-03,4807415.0
cust00140,american retail,dedicated,15,food/beverage,active,2021-11-30,4497709.0
cust00141,metro corp,contract,15,retail,active,2021-06-09,2165659.0
cust00142,elite retail,contract,60,general,active,2021-09-14,2132686.0
cust00143,abc supply chain,contract,60,food/beverage,active,2020-08-22,700993.0
cust00144,national distribution,dedicated,45,retail,active,2021-06-19,2333526.0
cust00145,national foods,contract,15,retail,inactive,2021-09-22,3707652.0
cust00146,first foods,contract,30,food/beverage,active,2021-11-30,2812973.0
cust00147,abc group,spot,60,consumer goods,active,2020-05-27,4931991.0
cust00148,pacific supply chain,spot,60,electronics,inactive,2020-03-15,851574.0
cust00149,first group,dedicated,15,electronics,active,2020-11-30,1043968.0
cust00150,american industries,dedicated,30,consumer goods,active,2020-02-28,3569377.0
cust00151,abc foods,spot,45,automotive,active,2020-08-18,3652916.0
cust00152,metro retail,dedicated,30,retail,active,2020-07-12,3164087.0
cust00153,superior group,dedicated,15,automotive,active,2020-04-03,3021818.0
cust00154,xyz distribution,spot,30,automotive,active,2020-01-14,1697943.0
cust00155,global group,spot,30,electronics,inactive,2020-05-07,2790548.0
cust00156,first logistics,dedicated,15,electronics,active,2021-04-14,2990084.0
cust00157,metro distribution,dedicated,45,general,active,2021-11-12,303061.0
cust00158,united retail,contract,30,retail,active,2020-12-22,2657005.0
cust00159,metro wholesale,dedicated,15,general,active,2021-05-20,1519816.0
cust00160,xyz retail,contract,30,consumer goods,active,2020-04-21,3033633.0
cust00161,first wholesale,spot,15,food/beverage,active,2021-10-21,3809527.0
cust00162,metro distribution,spot,45,general,active,2021-12-19,1323214.0
cust00163,continental manufacturing,spot,60,food/beverage,active,2021-06-02,3794875.0
cust00164,abc industries,spot,45,automotive,active,2020-03-01,476460.0
cust00165,continental supply chain,dedicated,60,retail,active,2020-08-16,2058652.0
cust00166,abc distribution,dedicated,60,consumer goods,active,2021-10-12,1775080.0
cust00167,xyz logistics,contract,30,general,active,2020-09-09,3235836.0
cust00168,global foods,spot,15,retail,active,2020-03-18,1408549.0
cust00169,first distribution,dedicated,15,consumer goods,active,2021-10-31,819863.0
cust00170,elite retail,contract,15,automotive,active,2020-12-28,1042642.0
cust00171,premier wholesale,contract,45,automotive,active,2020-06-09,557498.0
cust00172,national industries,contract,45,automotive,active,2020-11-02,2138836.0
cust00173,metro wholesale,spot,45,automotive,active,2020-12-20,1338805.0
cust00174,national supply chain,contract,45,electronics,active,2020-01-07,2513277.0
cust00175,abc wholesale,spot,30,electronics,active,2021-11-03,215203.0
cust00176,metro distribution,contract,30,automotive,active,2020-04-10,2979568.0
cust00177,first logistics,contract,60,automotive,active,2021-04-04,1033467.0
cust00178,metro corp,contract,60,general,active,2020-07-09,2659515.0
cust00179,xyz corp,dedicated,15,retail,active,2021-11-21,3875390.0
cust00180,abc distribution,spot,45,general,active,2021-10-21,4052630.0
cust00181,superior group,contract,30,automotive,active,2021-02-24,290825.0
cust00182,xyz foods,spot,60,consumer goods,active,2021-10-14,2883983.0
cust00183,pacific foods,spot,15,electronics,active,2021-05-25,1853299.0
cust00184,elite distribution,contract,15,food/beverage,inactive,2020-07-19,4613116.0
cust00185,premier industries,contract,45,electronics,active,2021-09-24,1877338.0
cust00186,national wholesale,dedicated,45,electronics,active,2021-09-20,1809609.0
cust00187,metro logistics,contract,15,consumer goods,active,2021-05-10,4683738.0
cust00188,american manufacturing,spot,45,consumer goods,active,2020-07-06,4489472.0
cust00189,first retail,spot,45,electronics,active,2020-12-03,2269780.0
cust00190,global wholesale,dedicated,60,food/beverage,active,2021-06-21,4703668.0
cust00191,pacific group,contract,60,automotive,active,2021-06-18,4151918.0
cust00192,premier manufacturing,spot,60,automotive,active,2020-07-12,1285708.0
cust00193,premier supply chain,spot,30,automotive,active,2020-02-29,254254.0
cust00194,abc group,spot,45,consumer goods,active,2021-04-22,3259205.0
cust00195,first manufacturing,spot,60,electronics,active,2020-05-28,4990599.0
cust00196,xyz logistics,spot,60,retail,active,2020-04-01,4519111.0
cust00197,abc corp,contract,15,consumer goods,active,2021-07-02,464753.0
cust00198,elite wholesale,dedicated,60,retail,active,2020-06-09,2242923.0
cust00199,first group,contract,15,general,active,2020-06-09,1528744.0
cust00200,xyz foods,dedicated,45,retail,inactive,2020-11-02,604239.0
