truck_id,unit_number,make,model_year,fuel_type,tank_capacity_gallons,status,home_terminal
trk00096,2337,kenworth,2018,diesel,150,active,oklahoma city
trk00097,7142,peterbilt,2016,diesel,200,active,salt lake city
trk00098,4678,peterbilt,2018,diesel,150,active,charlotte
trk00099,1461,freightliner,2015,diesel,200,active,kansas city
trk00100,6221,mack,2015,diesel,250,inactive,kansas city
trk00101,2623,peterbilt,2015,diesel,150,active,philadelphia
trk00102,6493,peterbilt,2015,diesel,200,inactive,minneapolis
trk00103,3392,freightliner,2015,diesel,250,active,los angeles
trk00104,3254,peterbilt,2018,diesel,250,maintenance,new york
trk00105,1627,volvo,2015,diesel,250,active,detroit
trk00106,5700,volvo,2017,diesel,200,active,atlanta
trk00107,8740,mack,2017,diesel,200,active,portland
trk00108,3273,volvo,2015,diesel,200,active,seattle
trk00109,8685,volvo,2015,diesel,250,maintenance,kansas city
trk00110,8349,peterbilt,2016,diesel,250,active,portland
trk00111,1086,kenworth,2015,diesel,250,active,seattle
trk00112,2298,volvo,2016,diesel,200,active,minneapolis
trk00113,1311,mack,2015,diesel,200,active,seattle
trk00114,5193,volvo,2016,diesel,150,active,las vegas
trk00115,4533,peterbilt,2015,diesel,250,active,salt lake city
trk00116,3449,international,2019,diesel,200,active,kansas city
trk00117,9991,peterbilt,2015,diesel,150,inactive,new york
trk00118,9647,freightliner,2015,diesel,150,inactive,detroit
trk00119,7934,mack,2015,diesel,250,inactive,seattle
trk00120,2821,volvo,2017,diesel,250,active,kansas city
