maintenance_id,truck_id,maintenance_date,maintenance_type,odometer_reading,labor_hours,labor_cost,parts_cost,total_cost,facility_location,downtime_hours,service_description
maint00000038,trk00025,2022-01-12,repair,248118,2.7,286.6,1636.24,1922.84,omaha,23.4,scheduled repair
maint00000039,trk00003,2022-01-13,engine,162744,7.8,915.93,1554.25,2470.18,denver,19.6,routine engine
maint00000040,trk00034,2022-01-13,transmission,575306,8.0,750.05,3028.64,3778.69,philadelphia,18.6,routine transmission
maint00000041,trk00029,2022-01-13,tire,707686,5.9,670.86,165.0,835.86,phoenix,8.5,emergency tire
maint00000042,trk00077,2022-01-13,inspection,93731,2.8,348.5,126.74,475.24,miami,21.1,routine inspection
maint00000043,trk00099,2022-01-13,preventive,194594,0.8,75.58,3478.03,3553.61,miami,5.7,routine preventive
maint00000044,trk00006,2022-01-14,engine,629714,4.2,386.73,1058.81,1445.54,denver,23.1,routine engine
maint00000045,trk00032,2022-01-14,engine,250887,3.7,451.6,1480.04,1931.64,miami,47.2,routine engine
maint00000046,trk00046,2022-01-15,preventive,204480,1.5,176.83,2490.06,2666.89,omaha,16.2,emergency preventive
maint00000047,trk00006,2022-01-15,inspection,678182,1.8,216.9,124.7,341.6,milwaukee,17.6,scheduled inspection
maint00000048,trk00013,2022-01-15,inspection,279252,0.9,82.13,110.0,192.13,atlanta,48.0,scheduled inspection
maint00000049,trk00027,2022-01-17,repair,542033,2.6,226.89,2765.04,2991.93,las vegas,33.8,scheduled repair
maint00000050,trk00006,2022-01-17,repair,615274,2.8,343.6,1866.29,2209.89,salt lake city,3.4,emergency repair
maint00000051,trk00090,2022-01-17,tire,588542,3.7,418.6,1210.56,1629.16,chicago,5.1,emergency tire
maint00000052,trk00087,2022-01-18,brake,188929,4.7,449.12,3135.39,3584.51,phoenix,30.2,emergency brake
maint00000053,trk00027,2022-01-19,repair,572530,5.6,556.33,2371.49,2927.82,minneapolis,43.4,routine repair
maint00000054,trk00075,2022-01-19,repair,587436,0.7,74.13,78.69,152.82,kansas city,19.5,scheduled repair
maint00000055,trk00050,2022-01-20,inspection,406500,6.0,637.02,84.78,721.8,indianapolis,32.3,scheduled inspection
maint00000056,trk00098,2022-01-20,tire,681754,5.8,519.14,3213.9,3733.04,omaha,13.4,scheduled tire
maint00000057,trk00090,2022-01-21,transmission,578371,2.0,213.35,1682.53,1895.88,phoenix,45.4,scheduled transmission
maint00000058,trk00107,2022-01-21,inspection,278740,5.1,549.9,67.42,617.32,philadelphia,46.5,scheduled inspection
maint00000059,trk00001,2022-01-21,tire,745241,5.2,489.56,2142.69,2632.25,oklahoma city,20.7,routine tire
maint00000060,trk00068,2022-01-21,preventive,552941,7.4,773.34,1371.24,2144.58,phoenix,6.4,emergency preventive
maint00000061,trk00084,2022-01-22,inspection,408241,7.1,716.44,51.57,768.01,los angeles,27.1,routine inspection
maint00000062,trk00118,2022-01-22,preventive,577806,3.1,358.03,1493.86,1851.89,omaha,21.3,routine preventive
maint00000063,trk00106,2022-01-22,brake,618758,2.3,229.24,2703.73,2932.97,memphis,23.0,scheduled brake
maint00000064,trk00046,2022-01-23,engine,613522,6.1,629.35,702.56,1331.91,memphis,30.2,routine engine
maint00000065,trk00064,2022-01-23,engine,671914,2.5,304.1,2028.26,2332.36,kansas city,4.2,scheduled engine
maint00000066,trk00061,2022-01-23,tire,634731,2.3,285.6,2714.98,3000.58,memphis,16.8,emergency tire
maint00000067,trk00107,2022-01-23,brake,695167,6.6,565.13,783.81,1348.94,atlanta,2.5,scheduled brake
maint00000068,trk00036,2022-01-24,tire,738542,1.2,103.31,3215.47,3318.78,atlanta,22.0,scheduled tire
maint00000069,trk00037,2022-01-24,engine,103146,1.9,169.06,1877.97,2047.03,miami,25.5,emergency engine
maint00000070,trk00029,2022-01-25,engine,168425,5.6,619.59,2043.1,2662.69,phoenix,35.8,scheduled engine
maint00000071,trk00096,2022-01-25,engine,518475,4.6,431.06,98.16,529.22,seattle,14.4,routine engine
maint00000072,trk00096,2022-01-25,inspection,512578,3.3,384.05,149.23,533.28,phoenix,2.5,emergency inspection
maint00000073,trk00080,2022-01-27,brake,128003,6.5,752.94,2233.68,2986.62,charlotte,34.0,emergency brake
maint00000074,trk00089,2022-01-27,brake,226638,3.1,352.34,1444.42,1796.76,memphis,26.8,scheduled brake
maint00000075,trk00060,2022-01-27,engine,446881,7.1,714.29,2599.71,3314.0,las vegas,46.4,routine engine
maint00000076,trk00100,2022-01-28,tire,164286,7.6,899.53,694.87,1594.4,memphis,45.3,routine tire
maint00000077,trk00103,2022-01-28,engine,705539,4.9,539.43,875.58,1415.01,new york,43.7,scheduled engine
maint00000078,trk00076,2022-01-28,engine,267165,4.1,349.13,1516.37,1865.5,milwaukee,17.2,scheduled engine
maint00000079,trk00019,2022-01-29,brake,454305,1.6,164.43,680.22,844.65,denver,18.5,scheduled brake
maint00000080,trk00049,2022-01-29,transmission,326092,1.2,134.33,2396.94,2531.27,los angeles,2.3,emergency transmission
maint00000081,trk00001,2022-01-29,brake,290198,2.5,220.3,1528.43,1748.73,atlanta,42.4,routine brake
maint00000082,trk00102,2022-01-30,transmission,683454,4.3,533.03,2309.25,2842.28,los angeles,18.9,emergency transmission
maint00000083,trk00004,2022-01-30,transmission,309629,5.6,560.21,2783.35,3343.56,los angeles,26.7,routine transmission
maint00000084,trk00086,2022-01-30,brake,664666,3.7,407.54,1928.67,2336.21,charlotte,17.7,scheduled brake
maint00000085,trk00034,2022-01-31,preventive,652476,1.3,153.77,3131.87,3285.64,memphis,16.3,scheduled preventive
maint00000086,trk00100,2022-01-31,transmission,421919,3.4,358.77,1730.08,2088.85,charlotte,7.4,scheduled transmission
maint00000087,trk00072,2022-01-31,inspection,637198,3.7,386.55,89.01,475.56,atlanta,4.2,emergency inspection
maint00000088,trk00066,2022-01-31,transmission,303702,1.5,186.61,2461.1,2647.71,philadelphia,11.8,emergency transmission
maint00000089,trk00091,2022-02-01,tire,338636,0.9,111.68,2519.67,2631.35,miami,28.2,emergency tire
maint00000090,trk00067,2022-02-01,transmission,726406,0.6,56.91,52.19,109.1,oklahoma city,34.9,routine transmission
maint00000091,trk00026,2022-02-01,engine,562437,2.2,242.81,1536.83,1779.64,las vegas,12.2,scheduled engine
maint00000092,trk00113,2022-02-02,transmission,744719,7.1,634.39,913.61,1548.0,portland,18.3,scheduled transmission
maint00000093,trk00115,2022-02-02,engine,337651,3.7,439.83,552.41,992.24,chicago,47.5,scheduled engine
maint00000094,trk00085,2022-02-02,preventive,411248,0.5,54.23,1052.86,1107.09,columbus,30.2,emergency preventive
maint00000095,trk00119,2022-02-03,repair,612801,2.1,255.88,2878.52,3134.4,minneapolis,3.1,scheduled repair
maint00000096,trk00041,2022-02-03,repair,404864,4.6,516.06,1493.71,2009.77,atlanta,26.8,routine repair
maint00000097,trk00081,2022-02-03,brake,592415,6.4,639.44,3093.23,3732.67,nashville,24.4,scheduled brake
maint00000098,trk00098,2022-02-04,preventive,71264,0.6,70.04,2640.66,2710.7,phoenix,38.4,scheduled preventive
maint00000099,trk00032,2022-02-04,engine,176295,4.8,443.87,98.5,542.37,seattle,4.0,routine engine
maint00000100,trk00029,2022-02-05,repair,689101,4.7,513.81,609.27,1123.08,detroit,8.2,routine repair
maint00000101,trk00109,2022-02-05,preventive,289082,6.1,539.81,914.45,1454.26,los angeles,35.5,routine preventive
maint00000102,trk00086,2022-02-05,inspection,716219,7.8,721.86,84.38,806.24,indianapolis,7.3,routine inspection
maint00000103,trk00066,2022-02-05,repair,491808,3.8,470.76,970.12,1440.88,seattle,20.7,emergency repair
maint00000104,trk00012,2022-02-06,inspection,284049,3.8,371.49,34.19,405.68,atlanta,6.9,scheduled inspection
maint00000105,trk00081,2022-02-07,engine,381108,3.7,374.83,1483.38,1858.21,oklahoma city,35.4,emergency engine
maint00000106,trk00099,2022-02-07,brake,674761,3.9,453.36,2138.85,2592.21,houston,3.3,emergency brake
maint00000107,trk00028,2022-02-08,tire,339119,2.7,312.6,2501.06,2813.66,philadelphia,20.6,scheduled tire
maint00000108,trk00096,2022-02-08,engine,551149,7.7,684.72,1854.93,2539.65,columbus,37.1,emergency engine
maint00000109,trk00022,2022-02-09,transmission,688664,4.0,415.13,1553.4,1968.53,portland,13.3,routine transmission
maint00000110,trk00081,2022-02-09,preventive,577731,2.3,245.54,1685.39,1930.93,charlotte,38.7,routine preventive
maint00000111,trk00056,2022-02-09,tire,181455,0.6,51.93,1293.62,1345.55,houston,39.1,emergency tire
maint00000112,trk00059,2022-02-09,brake,100684,3.0,327.69,171.19,498.88,nashville,38.0,emergency brake
maint00000113,trk00109,2022-02-09,preventive,624372,7.7,739.89,2826.17,3566.06,minneapolis,39.5,scheduled preventive
maint00000114,trk00050,2022-02-09,brake,268397,4.6,489.49,1737.66,2227.15,chicago,40.9,scheduled brake
maint00000115,trk00041,2022-02-10,inspection,629206,6.9,659.6,76.24,735.84,miami,42.3,routine inspection
maint00000116,trk00045,2022-02-10,preventive,632936,1.8,177.85,2399.17,2577.02,new york,17.2,routine preventive
maint00000117,trk00035,2022-02-11,transmission,78058,6.3,561.71,1711.51,2273.22,denver,30.7,scheduled transmission
maint00000118,trk00086,2022-02-11,engine,154004,4.2,412.79,335.36,748.15,atlanta,11.5,emergency engine
maint00000119,trk00006,2022-02-12,tire,567636,7.9,719.89,3334.38,4054.27,los angeles,36.9,scheduled tire
maint00000120,trk00049,2022-02-13,preventive,211205,7.2,769.9,2828.92,3598.82,nashville,21.1,emergency preventive
maint00000121,trk00113,2022-02-13,tire,170468,4.9,610.06,1460.49,2070.55,columbus,5.4,scheduled tire
maint00000122,trk00119,2022-02-14,transmission,462908,6.5,733.91,1590.45,2324.36,indianapolis,13.5,scheduled transmission
maint00000123,trk00031,2022-02-14,inspection,143459,3.0,314.42,15.76,330.18,denver,21.4,routine inspection
maint00000124,trk00079,2022-02-14,repair,502495,3.9,483.54,2303.54,2787.08,phoenix,32.0,emergency repair
maint00000125,trk00005,2022-02-14,repair,351354,6.0,638.01,3357.44,3995.45,minneapolis,16.9,routine repair
maint00000126,trk00104,2022-02-15,repair,489564,4.0,358.44,3254.12,3612.56,seattle,26.2,routine repair
maint00000127,trk00016,2022-02-15,brake,261631,1.2,104.59,3407.95,3512.54,miami,22.0,routine brake
maint00000128,trk00016,2022-02-17,transmission,552302,0.6,51.61,3105.1,3156.71,indianapolis,14.0,emergency transmission
maint00000129,trk00103,2022-02-17,brake,130815,3.6,311.42,715.23,1026.65,nashville,25.5,emergency brake
maint00000130,trk00011,2022-02-17,repair,409819,2.9,347.31,1156.26,1503.57,portland,22.3,scheduled repair
maint00000131,trk00092,2022-02-17,inspection,119253,5.7,535.8,13.05,548.85,milwaukee,6.4,routine inspection
maint00000132,trk00024,2022-02-17,preventive,500954,1.0,98.16,2815.96,2914.12,charlotte,20.3,emergency preventive
maint00000133,trk00067,2022-02-18,transmission,592185,7.2,740.42,994.07,1734.49,phoenix,6.2,routine transmission
maint00000134,trk00011,2022-02-18,preventive,331943,3.7,440.06,308.57,748.63,indianapolis,33.5,emergency preventive
maint00000135,trk00078,2022-02-18,inspection,146493,5.3,475.39,93.48,568.87,phoenix,7.8,emergency inspection
maint00000136,trk00018,2022-02-18,brake,233517,1.0,98.43,116.89,215.32,columbus,24.4,routine brake
maint00000137,trk00035,2022-02-18,preventive,440281,1.0,122.73,387.25,509.98,los angeles,23.3,routine preventive
maint00000138,trk00066,2022-02-18,transmission,542322,2.6,251.72,2579.26,2830.98,milwaukee,31.2,emergency transmission
maint00000139,trk00068,2022-02-18,tire,628516,2.5,215.13,1381.9,1597.03,philadelphia,44.4,emergency tire
maint00000140,trk00107,2022-02-19,tire,540716,3.0,296.29,1403.47,1699.76,houston,30.9,routine tire
maint00000141,trk00038,2022-02-19,inspection,206551,5.5,545.52,56.58,602.1,phoenix,36.1,scheduled inspection
maint00000142,trk00078,2022-02-19,transmission,612070,6.4,706.84,921.16,1628.0,memphis,31.2,emergency transmission
maint00000143,trk00105,2022-02-19,preventive,463193,1.8,204.74,984.72,1189.46,memphis,11.8,scheduled preventive
maint00000144,trk00002,2022-02-19,engine,125357,4.1,436.05,1177.2,1613.25,miami,10.3,emergency engine
maint00000145,trk00112,2022-02-22,brake,124656,5.5,604.11,3207.29,3811.4,chicago,22.8,scheduled brake
maint00000146,trk00094,2022-02-22,tire,594906,4.6,434.55,1691.5,2126.05,dallas,29.7,emergency tire
maint00000147,trk00024,2022-02-23,engine,414650,7.5,850.35,1659.65,2510.0,milwaukee,26.4,scheduled engine
maint00000148,trk00037,2022-02-24,transmission,68377,1.3,148.57,1379.82,1528.39,philadelphia,7.3,scheduled transmission
maint00000149,trk00019,2022-02-25,repair,536474,3.4,341.14,1960.2,2301.34,las vegas,46.3,scheduled repair
maint00000150,trk00071,2022-02-26,repair,534063,2.4,280.26,3105.12,3385.38,philadelphia,28.5,routine repair
maint00000151,trk00018,2022-02-26,preventive,206620,2.5,229.87,2486.46,2716.33,omaha,20.1,emergency preventive
maint00000152,trk00087,2022-02-26,engine,611302,5.3,462.28,1861.18,2323.46,portland,28.9,routine engine
maint00000153,trk00044,2022-02-26,repair,229722,5.0,434.84,273.5,708.34,minneapolis,36.5,emergency repair
maint00000154,trk00015,2022-02-27,inspection,654292,4.8,531.18,78.76,609.94,los angeles,3.3,scheduled inspection
maint00000155,trk00111,2022-02-27,inspection,493125,4.8,525.06,104.99,630.05,indianapolis,16.0,scheduled inspection
maint00000156,trk00104,2022-02-27,tire,426562,6.2,619.72,1675.46,2295.18,indianapolis,34.4,scheduled tire
maint00000157,trk00099,2022-02-28,inspection,653162,1.3,159.9,47.99,207.89,omaha,2.5,routine inspection
maint00000158,trk00076,2022-03-01,tire,421835,2.5,220.18,989.59,1209.77,indianapolis,6.5,emergency tire
maint00000159,trk00027,2022-03-01,preventive,299803,0.6,71.43,1220.52,1291.95,charlotte,10.9,routine preventive
maint00000160,trk00092,2022-03-01,repair,611879,0.7,68.09,3306.31,3374.4,miami,32.5,emergency repair
maint00000161,trk00002,2022-03-01,repair,667173,7.6,704.41,1519.54,2223.95,omaha,46.7,emergency repair
maint00000162,trk00064,2022-03-01,transmission,262471,2.2,248.33,1502.54,1750.87,atlanta,16.8,scheduled transmission
maint00000163,trk00111,2022-03-01,tire,256588,2.8,316.75,2859.27,3176.02,phoenix,9.2,scheduled tire
maint00000164,trk00067,2022-03-02,repair,329799,4.5,427.73,629.11,1056.84,memphis,46.2,scheduled repair
maint00000165,trk00039,2022-03-04,inspection,439811,1.9,185.39,49.64,235.03,seattle,16.2,routine inspection
maint00000166,trk00012,2022-03-04,repair,743793,2.3,235.39,3345.86,3581.25,columbus,18.4,routine repair
maint00000167,trk00006,2022-03-05,transmission,133743,5.5,648.56,907.39,1555.95,omaha,6.6,routine transmission
maint00000168,trk00105,2022-03-05,repair,255628,6.3,650.68,206.9,857.58,omaha,3.8,scheduled repair
maint00000169,trk00087,2022-03-05,brake,323691,3.7,397.78,1114.08,1511.86,seattle,6.9,emergency brake
maint00000170,trk00100,2022-03-05,inspection,132868,0.5,51.03,94.06,145.09,detroit,32.2,scheduled inspection
maint00000171,trk00067,2022-03-05,brake,89052,7.6,925.0,759.79,1684.79,miami,13.7,scheduled brake
maint00000172,trk00096,2022-03-06,tire,233055,7.6,765.48,521.82,1287.3,houston,31.6,scheduled tire
maint00000173,trk00110,2022-03-06,tire,749559,1.4,164.91,953.73,1118.64,philadelphia,8.8,emergency tire
maint00000174,trk00048,2022-03-07,tire,470225,7.7,917.77,2548.35,3466.12,portland,12.7,routine tire
maint00000175,trk00043,2022-03-07,transmission,471262,3.0,353.81,390.46,744.27,phoenix,16.9,emergency transmission
maint00000176,trk00057,2022-03-07,preventive,376369,6.4,712.94,88.77,801.71,kansas city,9.2,routine preventive
maint00000177,trk00033,2022-03-08,preventive,409247,4.3,482.76,2152.41,2635.17,memphis,28.9,scheduled preventive
maint00000178,trk00116,2022-03-09,tire,581242,7.1,855.41,3203.2,4058.61,los angeles,15.3,routine tire
maint00000179,trk00073,2022-03-09,preventive,381399,0.9,109.58,2904.64,3014.22,detroit,19.7,routine preventive
maint00000180,trk00084,2022-03-10,inspection,328355,1.8,154.05,70.82,224.87,oklahoma city,40.9,routine inspection
maint00000181,trk00021,2022-03-10,engine,662680,6.8,583.42,3168.59,3752.01,detroit,9.8,scheduled engine
maint00000182,trk00118,2022-03-10,tire,428623,6.5,702.06,325.37,1027.43,phoenix,18.8,scheduled tire
maint00000183,trk00016,2022-03-10,preventive,657114,6.2,656.5,1501.36,2157.86,houston,12.5,scheduled preventive
maint00000184,trk00060,2022-03-11,preventive,578004,6.4,605.11,2116.98,2722.09,salt lake city,43.2,emergency preventive
maint00000185,trk00067,2022-03-11,inspection,218452,2.9,314.67,87.1,401.77,miami,28.0,scheduled inspection
maint00000186,trk00104,2022-03-11,inspection,471446,7.2,712.01,7.54,719.55,detroit,46.0,scheduled inspection
maint00000187,trk00096,2022-03-12,tire,106841,4.8,573.25,752.86,1326.11,phoenix,34.6,emergency tire
maint00000188,trk00058,2022-03-13,repair,489503,6.7,678.46,2409.05,3087.51,chicago,24.9,scheduled repair
maint00000189,trk00097,2022-03-13,transmission,405690,2.6,313.07,1220.73,1533.8,seattle,2.2,routine transmission
maint00000190,trk00045,2022-03-13,engine,258266,5.4,662.62,526.38,1189.0,milwaukee,3.4,routine engine
maint00000191,trk00082,2022-03-13,transmission,556935,1.0,87.67,1860.18,1947.85,columbus,17.4,routine transmission
maint00000192,trk00005,2022-03-13,brake,451166,7.7,838.25,2149.13,2987.38,las vegas,12.0,emergency brake
maint00000193,trk00035,2022-03-14,repair,582269,2.1,240.42,2426.71,2667.13,nashville,11.1,routine repair
maint00000194,trk00034,2022-03-14,tire,553583,1.5,132.8,471.14,603.94,nashville,2.8,emergency tire
maint00000195,trk00013,2022-03-14,repair,361130,4.4,509.7,67.38,577.08,atlanta,34.7,emergency repair
maint00000196,trk00054,2022-03-14,repair,535323,2.9,335.7,3448.6,3784.3,philadelphia,10.4,scheduled repair
maint00000197,trk00033,2022-03-15,preventive,722134,5.1,507.25,1717.74,2224.99,los angeles,39.7,scheduled preventive
maint00000198,trk00054,2022-03-16,tire,609533,6.0,725.85,2351.94,3077.79,nashville,14.1,emergency tire
maint00000199,trk00075,2022-03-16,brake,615473,5.2,469.19,3288.65,3757.84,new york,23.5,scheduled brake
maint00000200,trk00072,2022-03-17,inspection,301879,3.1,382.54,128.86,511.4,atlanta,31.3,scheduled inspection
maint00000201,trk00021,2022-03-18,tire,238872,5.2,598.91,3128.5,3727.41,oklahoma city,38.0,emergency tire
maint00000202,trk00023,2022-03-18,repair,378679,0.6,65.14,2619.37,2684.51,charlotte,16.8,routine repair
maint00000203,trk00062,2022-03-19,brake,441974,1.0,119.64,1977.05,2096.69,columbus,45.2,scheduled brake
maint00000204,trk00023,2022-03-19,tire,232982,2.3,277.75,2799.81,3077.56,seattle,9.7,emergency tire
maint00000205,trk00046,2022-03-20,brake,417688,0.9,104.98,1113.62,1218.6,salt lake city,38.5,scheduled brake
maint00000206,trk00010,2022-03-20,tire,704802,2.2,229.53,2554.98,2784.51,salt lake city,10.0,routine tire
maint00000207,trk00029,2022-03-21,inspection,167717,5.3,459.91,46.01,505.92,memphis,13.6,routine inspection
maint00000208,trk00031,2022-03-21,engine,720482,5.1,574.92,1016.2,1591.12,seattle,38.5,emergency engine
maint00000209,trk00118,2022-03-21,repair,79137,1.1,118.05,2322.69,2440.74,memphis,21.7,emergency repair
maint00000210,trk00034,2022-03-21,repair,496552,6.5,598.97,884.33,1483.3,indianapolis,7.5,routine repair
maint00000211,trk00091,2022-03-22,tire,505546,2.4,286.12,1825.38,2111.5,columbus,22.2,emergency tire
maint00000212,trk00120,2022-03-22,repair,114630,4.1,407.09,2820.92,3228.01,detroit,43.0,routine repair
maint00000213,trk00090,2022-03-23,repair,242942,3.5,426.22,161.3,587.52,indianapolis,6.6,routine repair
maint00000214,trk00095,2022-03-23,engine,298168,3.1,366.29,2551.91,2918.2,indianapolis,26.7,scheduled engine
maint00000215,trk00033,2022-03-23,tire,533964,4.8,598.39,1515.34,2113.73,milwaukee,35.9,emergency tire
maint00000216,trk00024,2022-03-24,transmission,115261,4.2,517.22,2137.52,2654.74,philadelphia,28.8,routine transmission
maint00000217,trk00061,2022-03-24,tire,174726,0.8,84.94,2221.78,2306.72,los angeles,30.1,emergency tire
maint00000218,trk00109,2022-03-25,brake,532660,7.0,779.65,1751.76,2531.41,detroit,27.0,scheduled brake
maint00000219,trk00099,2022-03-25,brake,117357,3.0,294.29,3491.45,3785.74,phoenix,4.2,emergency brake
maint00000220,trk00104,2022-03-25,engine,684216,7.5,691.72,136.49,828.21,columbus,13.7,routine engine
maint00000221,trk00081,2022-03-26,engine,67184,6.8,590.09,2953.97,3544.06,los angeles,37.1,scheduled engine
maint00000222,trk00017,2022-03-27,engine,410440,1.9,235.17,3054.63,3289.8,dallas,45.9,emergency engine
maint00000223,trk00012,2022-03-27,tire,179667,2.9,334.36,232.6,566.96,philadelphia,14.7,scheduled tire
maint00000224,trk00044,2022-03-28,transmission,365397,1.9,201.06,1454.39,1655.45,atlanta,38.2,routine transmission
maint00000225,trk00102,2022-03-29,inspection,542231,2.8,347.1,128.77,475.87,milwaukee,28.0,scheduled inspection
maint00000226,trk00028,2022-03-29,tire,193088,5.4,639.37,2012.52,2651.89,chicago,12.6,scheduled tire
maint00000227,trk00027,2022-03-30,brake,209543,6.6,786.73,3019.49,3806.22,nashville,28.1,scheduled brake
maint00000228,trk00118,2022-03-30,brake,530822,2.1,199.72,457.87,657.59,chicago,13.7,scheduled brake
maint00000229,trk00033,2022-03-30,engine,584606,2.0,182.51,1899.01,2081.52,houston,34.6,emergency engine
maint00000230,trk00032,2022-03-31,brake,576724,5.9,678.74,2355.7,3034.44,nashville,47.8,scheduled brake
maint00000231,trk00035,2022-03-31,transmission,713770,3.3,326.8,3106.23,3433.03,new york,14.6,scheduled transmission
maint00000232,trk00013,2022-04-01,transmission,487129,5.1,480.23,1335.33,1815.56,houston,19.0,scheduled transmission
maint00000233,trk00063,2022-04-01,inspection,673494,6.7,654.73,14.98,669.71,oklahoma city,27.2,routine inspection
maint00000234,trk00044,2022-04-01,inspection,307041,7.7,906.26,49.43,955.69,omaha,38.8,emergency inspection
maint00000235,trk00080,2022-04-01,preventive,709737,4.7,447.99,3123.89,3571.88,houston,11.9,scheduled preventive
maint00000236,trk00110,2022-04-01,engine,185672,8.0,775.0,267.05,1042.05,las vegas,36.4,emergency engine
maint00000237,trk00057,2022-04-01,brake,557365,6.3,663.96,3394.89,4058.85,charlotte,16.8,routine brake
maint00000238,trk00041,2022-04-02,preventive,715737,1.8,175.18,3174.24,3349.42,memphis,27.5,emergency preventive
maint00000239,trk00080,2022-04-02,inspection,62690,3.4,324.98,135.59,460.57,chicago,34.2,scheduled inspection
maint00000240,trk00034,2022-04-02,repair,716279,6.9,831.65,2194.02,3025.67,las vegas,37.5,routine repair
maint00000241,trk00021,2022-04-02,inspection,386177,5.5,487.33,39.15,526.48,kansas city,28.8,emergency inspection
maint00000242,trk00076,2022-04-02,preventive,449314,6.5,685.6,1074.62,1760.22,chicago,35.5,routine preventive
maint00000243,trk00034,2022-04-03,tire,447629,5.3,529.13,3166.38,3695.51,miami,30.2,scheduled tire
